City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
130,Eirunepe,BR,-6.6603,-69.8736,73.08,75,96,5.3,overcast clouds
131,Umea,SE,63.8284,20.2597,57.13,82,0,12.66,clear sky
132,Torbay,CA,47.6666,-52.7314,72.37,53,75,20.71,broken clouds
133,Richards Bay,ZA,-28.783,32.0377,66.78,81,0,13.47,clear sky
134,Talcahuano,CL,-36.7167,-73.1167,53.28,87,20,8.05,few clouds
135,Sarankhola,BD,22.3082,89.7897,82.71,88,22,6.78,few clouds
136,Iqaluit,CA,63.7506,-68.5145,51.53,50,75,11.5,broken clouds
137,Tasiilaq,GL,65.6145,-37.6368,42.96,72,20,0.81,few clouds
138,Quelimane,MZ,-17.8786,36.8883,66.15,72,20,5.75,few clouds
139,Rundu,NA,-17.9333,19.7667,58.59,47,0,6.49,clear sky
140,Ciudad Bolivar,VE,8.1222,-63.5497,90.16,48,100,8.9,overcast clouds
141,Lillooet,CA,50.6856,-121.942,69.3,42,18,4.81,few clouds
142,Ostrovnoy,RU,68.0531,39.5131,55.96,60,17,9.06,few clouds
143,Sitka,US,57.0531,-135.33,51.69,82,100,8.05,moderate rain
144,Dudinka,RU,69.4058,86.1778,54.63,49,98,10.98,overcast clouds
145,Dikson,RU,73.5069,80.5464,42.15,74,100,16.35,overcast clouds
146,Sistranda,NO,63.7256,8.834,62.56,79,100,11.1,overcast clouds
147,Salym,RU,60.0625,71.4789,54.95,98,100,3.98,moderate rain
148,Mookane,BW,-23.688,26.6595,56.89,49,0,5.06,clear sky
149,Half Moon Bay,US,37.4636,-122.4286,94.87,63,0,17.27,clear sky
150,Bhunya,SZ,-26.55,31.0167,50.18,66,0,4.45,clear sky
151,Port Macquarie,AU,-31.4333,152.9167,44.33,74,0,6.73,clear sky
152,Ascension,US,30.2169,-90.9001,95.05,67,75,6.91,broken clouds
153,Palasa,IN,18.7667,84.4167,81.82,71,85,6.64,overcast clouds
154,Tikapur,NP,28.5,81.1333,90.37,31,70,8.34,broken clouds
155,Merritt Island,US,28.5392,-80.672,93.29,60,75,13.8,broken clouds
156,Maniitsoq,GL,65.4167,-52.9,41.94,78,13,10.67,few clouds
157,Avinurme,EE,58.9822,26.8642,61.34,81,70,5.28,broken clouds
